COMID,LatSite,LonSite
14992381,39.13295978,-120.4838132
2826184,37.77715006,-120.852988
1894832,37.79687204,-121.5852273
14983592,38.85212708,-120.4571437
14993077,39.00462926,-120.2568578
8006491,39.07905977,-122.5355367
948020915,39.2090584,-121.4580192
15014869,39.2543436,-120.7749374
15014925,39.2151756,-120.8407728
14983016,38.67157545,-120.1229654
8038035,39.56210965,-121.2805178
14982602,38.76351814,-120.3285276
14982384,38.79406877,-120.7754889
14982014,38.81574095,-120.1171308
14993579,39.1096266,-120.4813127
24688709,39.2140566,-122.0002508
14981972,38.81879517,-120.3651957
8281665,38.7899103,-123.5094535
7972699,39.48933084,-121.6877516
8064535,39.35628936,-120.6585463
8063529,39.44045555,-120.6593815
8287256,39.8745957,-123.7205775
343159,38.14242024,-120.3785296
2775564,39.89127458,-121.2941314
14993649,39.0060108,-120.7607633
21609533,37.73131496,-119.5590514
8062273,39.2921153,-121.1046751
8280869,38.70907868,-123.4266753
14982148,38.8112919,-120.623261
14992983,39.0251806,-120.5954812
8060553,39.44016966,-121.059399
7970621,39.16683684,-121.4496846
14982590,38.7643516,-120.320194
15034761,38.72601499,-121.7299631
14997049,38.98768507,-120.2257454
8269091,39.24655605,-123.1302806
8009269,38.9240648,-122.5658147
2706945,40.11014836,-123.4675244
8063879,39.35989778,-120.8077192
15014563,39.13267396,-120.9543876
8061235,39.22433764,-121.2685697
8269119,39.02656314,-123.1305588
14992773,39.05657207,-120.4079758
8007863,39.07544877,-122.5341477
15014823,39.30628935,-120.6791015
14992983,39.02629158,-120.603537
342483,38.4393563,-120.015741
14982644,38.7710133,-120.8163242
8005975,39.1654458,-122.6199862
948021101,39.0510159,-120.471589
8064105,39.31740077,-120.6532675
8007863,39.0804486,-122.5349812
15039097,38.6776817,-121.6441266
14982664,38.76046348,-120.2815813
14992381,39.1357376,-120.4785353
14997045,38.98879619,-120.2232453
948010118,38.4388007,-122.7024867
14993077,39.00490704,-120.2563022
14982798,38.7085188,-120.0515736
8063833,39.35878967,-120.6368789
2775724,39.82932878,-121.4241347
2773596,40.02988234,-121.4777494
12068798,40.02376507,-122.5119462
2773562,40.18710789,-121.1880187
8063597,39.4115596,-120.9980072
8037383,39.6473898,-121.1188467
8285366,40.0740346,-123.7700277
8027910,40.002947,-120.9543994
8029582,39.9458333,-120.9425
8309952,39.40793878,-122.9713896
8288668,39.6715454,-123.4983497
8058675,39.5248937,-120.9380068
2773088,40.0732158,-121.4533047
8037505,39.5735007,-121.141625
8019544,40.0546022,-122.0241541
8294891,39.8290433,-123.070842
2775676,39.85238459,-121.3924673
8037545,39.5512773,-121.2094046
8063383,39.4646235,-120.5638229
8307546,39.38849566,-123.1161157
8063605,39.4001783,-120.6382687
8285120,40.18181004,-123.7761426
8027394,40.00183868,-120.703004
8287590,39.7295997,-123.6439073
2665525,39.42822378,-123.7377917
2770158,39.86682765,-121.6338637
2852705,39.45766285,-121.9941417
8056723,39.5454461,-121.0952348
1680009,39.72599524,-121.7088643
8063547,39.4160116,-120.632991
8037395,39.617946,-121.0896792
8063529,39.43962219,-120.661326
8060745,39.39044696,-121.1444008
2775448,39.9023867,-121.2277406
2773068,40.07127605,-121.1646843
8063489,39.4301784,-120.6188242
2770154,39.8857164,-121.6108077
2776474,39.8087732,-121.4355237
8020924,40.01404745,-121.9483181
8056663,39.61433564,-121.0521781
2546355,40.139309,-123.991423
20194984,38.66962737,-120.5335363
2770154,39.90127187,-121.6244194
2769334,40.06821525,-121.5746975
7968113,39.52155294,-121.5477477
2775196,39.98016347,-121.2769099
8027124,40.0482286,-120.661336
8063527,39.4282339,-120.622991
1682827,39.4504426,-121.6583058
8058651,39.50990117,-120.5552124
8295207,39.70626687,-123.3252913
8064739,39.46017837,-120.6113246
7968425,39.5329419,-121.4830236
8064519,39.37990268,-120.4993742
7972401,39.4562759,-121.637194
8063671,39.3990671,-120.642991
8056721,39.54989055,-121.0944014
8060553,39.4393363,-121.0591211
8037179,39.72378055,-121.0221775
8058581,39.5218451,-120.583547
20286396,38.0427008,-119.1726516
20287432,37.7590977,-119.130701
20286396,38.04214527,-119.1726516
20287628,37.92798117,-119.2512636
20287674,37.7510421,-119.1815348
20286400,38.0329787,-119.2165424
21609435,37.7421477,-119.5579409
14982578,38.7729583,-120.7015975
343847,38.09242097,-120.1687993
20287270,37.9643687,-119.2732103
20287584,37.93603659,-119.2309854
